date,baseline_value,selection1_value,selection2_value,adx,regime
2022-10-15 09:00:00,1484019.2394909132,1073863.148625761,1551993.196725029,13.885181631029434,sideways
2022-10-16 09:00:00,1488202.987730121,1078717.3087124862,1551993.196725029,13.480046283174934,sideways
2022-10-17 09:00:00,1507704.7903192583,1091241.7828293797,1551993.196725029,12.566373506322101,sideways
2022-10-18 09:00:00,1502485.6333066977,1083504.6985090743,1551993.196725029,11.717963076038487,sideways
2022-10-19 09:00:00,1464523.444810354,1040956.5237056066,1551993.196725029,10.93015339540146,sideways
2022-10-20 09:00:00,1447747.9488914239,1044125.0048079925,1551993.196725029,10.467322387835912,sideways
2022-10-21 09:00:00,1470470.4616372786,1075809.8158318517,1551993.196725029,10.548875181748803,sideways
2022-10-22 09:00:00,1474370.2867364583,1074336.045442877,1551993.196725029,10.624602775740435,sideways
2022-10-23 09:00:00,1474370.2867364583,1127220.533629684,1551993.196725029,10.048837397044906,sideways
2022-10-24 09:00:00,1474370.2867364583,1112065.4407788883,1551993.196725029,9.514198118995095,sideways
2022-10-25 09:00:00,1474370.2867364583,1142737.5391455735,1551993.196725029,10.409299752573332,sideways
2022-10-26 09:00:00,1473669.9608502584,1148746.1126128717,1551993.196725029,12.046599097403536,sideways
2022-10-27 09:00:00,1436034.4057364836,1119408.6769715617,1551993.196725029,13.56694848409665,sideways
2022-10-28 09:00:00,1485295.272563851,1157808.2038501776,1551993.196725029,14.524148558547836,sideways
2022-10-29 09:00:00,1502309.0665393358,1171070.6915233727,1551993.196725029,15.842232179096696,sideways
2022-10-30 09:00:00,1478464.9548923266,1152483.8767745635,1551255.9999565845,17.044770412347347,sideways
2022-10-31 09:00:00,1513047.9203971955,1179686.5203658224,1587541.6302369633,17.31836265312408,sideways
2022-11-01 09:00:00,1528546.0312872434,1221709.687691828,1603802.7782788053,17.5724125904189,sideways
2022-11-02 09:00:00,1471084.779906262,1162940.0104414872,1543512.4679303584,18.408765893376444,sideways
2022-11-03 09:00:00,1472667.602048066,1154886.2035836915,1545173.2190602464,19.025858986257,sideways
2022-11-04 09:00:00,1480661.8833593156,1377547.8081970979,1553561.092447695,20.655161136525155,sideways
2022-11-05 09:00:00,1464673.3207368164,1401838.165064015,1536785.3456727979,22.379158536577442,sideways
2022-11-06 09:00:00,1368741.9450018206,1353257.4513301807,1436130.8650234141,23.9800132627209,sideways
2022-11-07 09:00:00,1319525.630658029,1490186.2413818033,1384491.4246234784,23.82854952858765,sideways
2022-11-08 09:00:00,1147440.8533318164,1490186.2413818033,1203934.1902804284,24.498032395527048,sideways
2022-11-09 09:00:00,891851.5628437672,1490186.2413818033,935761.1645470539,26.79490176246211,sideways
2022-11-10 09:00:00,1037336.4924369901,1490186.2413818033,1088408.9288298292,28.92770902930592,bear
2022-11-11 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,30.908172917831482,bear
2022-11-12 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,32.74717509821004,bear
2022-11-13 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,34.68633892921357,bear
2022-11-14 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,36.84374268811071,bear
2022-11-15 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,38.84704617692454,bear
2022-11-16 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,40.707256558023,bear
2022-11-17 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,42.434594767860396,bear
2022-11-18 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,43.48638321726509,bear
2022-11-19 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,44.46304391970719,bear
2022-11-20 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,45.52052463369548,bear
2022-11-21 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,46.82470025255833,bear
2022-11-22 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.03572046950144,bear
2022-11-23 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.300532825580305,bear
2022-11-24 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.33921951893607,bear
2022-11-25 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.51825288544584,bear
2022-11-26 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.52910951015432,bear
2022-11-27 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.53919066166605,bear
2022-11-28 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,48.867971085579924,bear
2022-11-29 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,49.222704711677224,bear
2022-11-30 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,47.92802206154868,bear
2022-12-01 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,46.495692327173806,bear
2022-12-02 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,45.432684889439464,bear
2022-12-03 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,44.445606554606904,bear
2022-12-04 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,43.40788062126918,bear
2022-12-05 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,42.1105974376726,bear
2022-12-06 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,40.90597733882038,bear
2022-12-07 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,40.2608981760244,bear
2022-12-08 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,39.36661843674728,bear
2022-12-09 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,38.53621582181559,bear
2022-12-10 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,37.76512767947502,bear
2022-12-11 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,37.165309518960406,bear
2022-12-12 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,37.10957010202122,bear
2022-12-13 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,34.91852826898054,bear
2022-12-14 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,32.73237221263119,bear
2022-12-15 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,30.676994560457256,bear
2022-12-16 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,30.08629717407994,bear
2022-12-17 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,29.722048155631025,bear
2022-12-18 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,29.38381692423745,bear
2022-12-19 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,29.89471129285781,bear
2022-12-20 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,30.369113206548565,bear
2022-12-21 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,30.80962926923714,bear
2022-12-22 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,31.515538535309556,bear
2022-12-23 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,32.10552719487289,bear
2022-12-24 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,32.65337380730039,bear
2022-12-25 09:00:00,971962.8731401393,1490186.2413818033,1019816.6914301252,33.29139883378022,bear
